PERIODO;MES;CODIGO_ESTABLECIMIENTO;ESTABLECIMIENTO;AREA_FUNCIONAL;INDICE_OCUPACIONAL_PREDICHO;VALOR_REAL
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Medios;97.99;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Medios;97.89;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Medios;97.22;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;85.59;85.08
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;85.19;84.3
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;85.98;86.06
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;85.5;91.2
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;88.27;89.58
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;89.2;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;89.72;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;90.14;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;87.58;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;88.3;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;89.87;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Básicos;82.42;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;92.24;92.57
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;92.19;93.22
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;91.52;93.02
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;91.64;94.18
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;94.04;94.76
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;93.59;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;93.5;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;93.97;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;90.55;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;90.84;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;91.14;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médico-Quirúrgico Cuidados Medios;89.86;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;64.85;67.74
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;64.92;43.57
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;52.45;58.71
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;46.47;43.33
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;51.45;57.1
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;64.34;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;61.66;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;67.53;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;67.84;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;68.05;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;69.85;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Básicos;68.19;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;80.89;86.1
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;80.98;80.49
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;80.52;88.09
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;86.87;85.38
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;85.31;90.32
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;89.66;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;88.83;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;88.93;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;87.94;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;84.92;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;87.28;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intensivos;81.39;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;59.96;60.12
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;54.82;64.94
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;66.07;69.06
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;64.08;58.79
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;69.75;70.97
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;70.41;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;67.59;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;73.76;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;71.6;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;69.43;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;70.64;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Neonatología Cuidados Intermedios;66.85;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;68.06;69.6
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;65.95;72.11
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;70.59;75.63
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;71.77;65.62
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;71.64;77.01
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;70.8;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;71.67;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;73.65;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;75.23;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;72.27;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;73.51;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Obstetricia;71.93;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;40.0;41.47
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;45.24;34.95
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;37.08;40.09
